aa,afar
tkl,tokelau
tl,tagalog
tlh,klingon
tli,tinglit
tmh,tamacheg
tn,tswana
to,tonga
tog,nyasa tonga
tpi,tok pisin
tr,turkeg
ts,tsonga
tsi,tsimshian
tt,tatar
tum,tumbuka
tvl,tuvalu
tw,twi
ty,tahitianeg
tyv,touva
udm,oudmourteg
ug,ouigoureg
uga,ougariteg
uk,ukraineg
umb,umbundu
und,yezh dianav
ur,ourdou
uz,ouzbekeg
vai,vai
ve,venda
vi,vietnameg
vo,volapük
vot,votyakeg
wa,walloneg
wae,walser
wal,walamo
war,waray
was,washo
wo,wolof
xal,kalmouk
xh,xhosa
yao,yao
yap,yapeg
yi,yiddish
yo,yorouba
yue,kantoneg
za,zhuang
zap,zapoteg
zen,zenaga
zh,sinaeg
zh_Hans,sinaeg eeunaet
zh_Hant,sinaeg hengounel
zu,zouloueg
zun,zuni
zxx,diyezh
