афарски (aa)
фанти (fat)
фула (ff)
фински (fi)
филипински (fil)
фиџијски (fj)
фарски (fo)
фон (fon)
француски (fr)
средњефранцуски (frm)
старофранцуски (fro)
севернофризијски (frr)
источнофризијски (frs)
фриулски (fur)
западни фризијски (fy)
ирски (ga)
га (gaa)
гагауз (gag)
гајо (gay)
гбаја (gba)
шкотски гелски (gd)
геез (gez)
гилбертски (gil)
галицијски (gl)
средњи високонемачки (gmh)
гварани (gn)
старонемачки (goh)
гонди (gon)
горонтало (gor)
готски (got)
гребо (grb)
старогрчки (grc)
Швајцарски немачки (gsw)
гуџарати (gu)
гуси (guz)
манкс (gv)
гвичински (gwi)
хауса (ha)
хаида (hai)
хавајски (haw)
хебрејски (he)
хинди (hi)
хилигајнонски (hil)
хетитски (hit)
хмоншки (hmn)
хири моту (ho)
хрватски (hr)
горњи лужичкосрпски (hsb)
хаићански (ht)
мађарски (hu)
хупа (hup)
јерменски (hy)
хереро (hz)
интерлингва (ia)
ибански (iba)
ибибио (ibb)
индонежански (id)
интерлингве (ie)
игбо (ig)
сечуански ји (ii)
инупик (ik)
илоко (ilo)
ингушки (inh)
идо (io)
исландски (is)
италијански (it)
инуитски (iu)
јапански (ja)
ложбан (jbo)
нгомба (jgo)
мачаме (jmc)
јудео-персијски (jpr)
јудео-арапски (jrb)
јавански (jv)
грузијски (ka)
кара-калпашки (kaa)
кабиле (kab)
качински (kac)
џу (kaj)
камба (kam)
кави (kaw)
кабардијски (kbd)
тјап (kcg)
маконде (kde)
зеленортски (kea)
коро (kfo)
конго (kg)
каси (kha)
котанешки (kho)
којра чиини (khq)
кикују (ki)
квањама (kj)
казашки (kk)
како (kkj)
гренландски (kl)
каленџински (kln)
кмерски (km)
кимбунду (kmb)
канада (kn)
корејски (ko)
коми-пермски (koi)
конкани (kok)
косренски (kos)
кпеле (kpe)
канури (kr)
карачајско-балкарски (krc)
крио (kri)
карелски (krl)
курук (kru)
кашмирски (ks)
шамбала (ksb)
бафија (ksf)
келнски (ksh)
курдски (ku)
кумички (kum)
кутенај (kut)
коми (kv)
корнволски (kw)
киргиски (ky)
латински (la)
ладино (lad)
ланги (lag)
ланда (lah)
ламба (lam)
луксембуршки (lb)
лезгински (lez)
ганда (lg)
лимбуршки (li)
лакота (lkt)
лингала (ln)
лаоски (lo)
монго (lol)
лози (loz)
северни лури (lrc)
литвански (lt)
луба-катанга (lu)
луба-лулуа (lua)
луисењо (lui)
лунда (lun)
луо (luo)
мизо (lus)
лујиа (luy)
летонски (lv)
мадурски (mad)
магахи (mag)
маитили (mai)
макасарски (mak)
мандинго (man)
масајски (mas)
мокша (mdf)
мандар (mdr)
менде (men)
меру (mer)
морисјен (mfe)
малгашки (mg)
средњеирски (mga)
макува-мито (mgh)
мета (mgo)
маршалски (mh)
маорски (mi)
микмак (mic)
минангкабау (min)
македонски (mk)
малајалам (ml)
монголски (mn)
манџурски (mnc)
манипурски (mni)
мохочки (moh)
моси (mos)
марати (mr)
малајски (ms)
малтешки (mt)
мунданг (mua)
Више језика (mul)
кришки (mus)
мирандски (mwl)
марвари (mwr)
бурмански (my)
ерзја (myv)
мазандерански (mzn)
науруски (na)
напуљски (nap)
нама (naq)
норвешки букмол (nb)
северни ндебеле (nd)
нисконемачки (nds)
нискосаксонски (nds_NL)
непалски (ne)
невари (new)
ндонга (ng)
ниас (nia)
ниуејски (niu)
холандски (nl)
фламански (nl_BE)
квасио (nmg)
норвешки нинорск (nn)
нгиембун (nnh)
норвешки (no)
ногајски (nog)
старонордијски (non)
нко (nqo)
јужни ндебеле (nr)
северни сото (nso)
нуер (nus)
навахо (nv)
класични неварски (nwc)
њанџа (ny)
њамвези (nym)
њанколе (nyn)
њоро (nyo)
нзима (nzi)
окситански (oc)
оџибве (oj)
оромо (om)
одија (or)
осетински (os)
осаге (osa)
османски турски (ota)
пенџапски (pa)
пангасинански (pag)
пахлави (pal)
пампанга (pam)
папиаменто (pap)
палауски (pau)
нигеријски пиџин (pcm)
староперсијски (peo)
феничански (phn)
пали (pi)
пољски (pl)
понпејски (pon)
пруски (prg)
староокситански (pro)
паштунски (ps)
португалски (pt)
португалски (Португал) (pt_PT)
кечуа (qu)
киче (quc)
раџастански (raj)
рапануи (rap)
раротонгански (rar)
романш (rm)
кирунди (rn)
румунски (ro)
молдавски (ro_MD)
ромбо (rof)
ромски (rom)
Рут (root)
руски (ru)
цинцарски (rup)
кињаруанда (rw)
руа (rwk)
санскрит (sa)
сандаве (sad)
јакутски (sah)
самаријански арамејски (sam)
самбуру (saq)
сасак (sas)
сантали (sat)
нгамбај (sba)
сангу (sbp)
сардински (sc)
сицилијански (scn)
шкотски (sco)
синди (sd)
јужнокурдски (sdh)
северни сами (se)
сена (seh)
селкупски (sel)
којраборо сени (ses)
санго (sg)
староирски (sga)
српскохрватски (sh)
ташелхит (shi)
шански (shn)
синхалешки (si)
сидамо (sid)
словачки (sk)
словеначки (sl)
самоански (sm)
јужни сами (sma)
луле сами (smj)
инари сами (smn)
сколтски лапонски (sms)
шона (sn)
сонинке (snk)
сомалски (so)
согдијски (sog)
албански (sq)
српски (sr)
сранан тонго (srn)
серерски (srr)
свази (ss)
сахо (ssy)
сесото (st)
сундански (su)
сукума (suk)
сусу (sus)
сумерски (sux)
шведски (sv)
свахили (sw)
кисвахили (sw_CD)
коморски (swb)
сиријачки (syc)
сиријски (syr)
тамилски (ta)
телугу (te)
тимне (tem)
тесо (teo)
терено (ter)
тетум (tet)
таџички (tg)
тајски (th)
тигриња (ti)
тигре (tig)
тив (tiv)
туркменски (tk)
токелау (tkl)
тагалог (tl)
клингонски (tlh)
тлингит (tli)
тамашек (tmh)
цвана (tn)
тонгански (to)
њаса тонга (tog)
ток писин (tpi)
турски (tr)
тароко (trv)
цонга (ts)
цимшиан (tsi)
татарски (tt)
тумбука (tum)
тувалу (tvl)
тви (tw)
тасавак (twq)
тахићански (ty)
тувински (tyv)
централноатласки тамазигт (tzm)
удмуртски (udm)
ујгурски (ug)
угаритски (uga)
украјински (uk)
умбунду (umb)
непознат језик (und)
урду (ur)
узбечки (uz)
ваи (vai)
венда (ve)
вијетнамски (vi)
волапик (vo)
водски (vot)
вунџо (vun)
валонски (wa)
валсерски (wae)
волајта (wal)
варајски (war)
вашо (was)
варлпири (wbp)
волоф (wo)
калмички (xal)
коса (xh)
сога (xog)
јао (yao)
јапски (yap)
јангбен (yav)
јемба (ybb)
јидиш (yi)
јоруба (yo)
кантонски (yue)
џуаншки (za)
запотечки (zap)
блисимболи (zbl)
зенага (zen)
стандардни марокански тамазигт (zgh)
кинески (zh)
поједностављени кинески (zh_Hans)
традиционални кинески (zh_Hant)
зулу (zu)
зуни (zun)
без лингвистичког садржаја (zxx)
заза (zza)
