aa,afarski
hai,haida
haw,havajski
he,hebrejski
hi,hindi
hil,hiligajnon
hit,hitite
hmn,hmong
ho,hiri motu
hr,hrvatski
hsb,gornji sorbijski
ht,haićanski
hu,mađarski
hup,hupa
hy,jermenski
hz,herero
ia,interlingva
iba,iban
id,indonezijski
ie,interlingve
ig,igbo
ii,sičuan ji
ik,inupiak
ilo,iloko
inh,ingušetski
io,ido
is,islandski
it,talijanski
iu,inuktitut
ja,japanski
jbo,lojban
jpr,judeo-persijski
jrb,judeo-arapski
jv,javanski
ka,gruzijski
kaa,kara-kalpaški
kab,kabile
kac,kačin
kaj,žju
kam,kamba
kaw,kavi
kbd,kabardijski
kcg,tjap
kfo,koro
kg,kongo
kha,kasi
kho,kotanizijski
ki,kikuju
kj,kuanjama
kk,kozački
kl,kalalisutski
km,kmerski
kmb,kimbundu
kn,kanada
ko,korejski
kok,konkani
kos,kosreanski
kpe,kpele
kr,kanuri
krc,karačaj-balkar
krl,karelijski
kru,kurukh
ks,kašmiri
ku,kurdski
kum,kumik
kut,kutenai
kv,komi
kw,korniški
ky,kirgiski
la,latinski
lad,ladino
lah,landa
lam,lamba
lb,luksemburški
lez,lezgian
lg,ganda
li,limburgiš
ln,lingala
lo,laoški
lol,mongo
loz,lozi
lt,litvanski
lu,luba-katanga
lua,luba-lulua
lui,luiseno
lun,lunda
luo,luo
lus,lušai
lv,letonski
mad,madureški
mag,magahi
mai,maitili
mak,makasar
man,mandingo
mas,masai
mdf,mokša
mdr,mandar
men,mende
mg,malagazijski
mga,srednji irski
mh,maršalski
mi,maorski
mic,mikmak
min,minangkabau
mk,makedonski
ml,malajalam
mn,mongolski
mnc,manču
mni,manipuri
moh,mahavski
mos,mosi
mr,marati
ms,malajski
mt,melteški
mul,više jezika
mus,kriški
mwl,mirandeški
mwr,marvari
my,burmanski
myv,erzija
na,nauru
nap,neapolitanski
nb,norveški bokmål
nd,severni ndebele
nds,niski nemački
ne,nepalski
new,nevari
ng,ndonga
nia,nias
niu,niuean
nl,holandski
nl_BE,flamanski
nn,norveški njorsk
no,norveški
nog,nogai
non,stari norski
nqo,n’ko
nr,južni ndebele
nso,severni soto
nv,navaho
nwc,klasični nevari
ny,njanja
nym,njamvezi
nyn,njankole
nyo,njoro
nzi,nzima
oc,provansalski
oj,ojibva
om,oromo
or,orijski
os,osetski
osa,osage
ota,otomanski turski
pa,pandžabski
pag,pangasinski
pal,pahlavi
pam,pampanga
pap,papiamento
pau,palauanski
peo,staropersijski
phn,feničanski
pi,pali
pl,poljski
pon,ponpejski
pro,staroprovansalski
ps,paštunski
pt,portugalski
qu,kvenča
raj,rađastani
rap,rapanui
rar,rarotongan
rm,reto-romanski
rn,rundi
ro,rumunski
ro_MD,moldavski
rom,romani
root,run
ru,ruski
rup,aromanijski
rw,kinjarvanda
sa,sanskrit
sad,sandave
sah,jakut
sam,samaritanski aramejski
sas,sasak
sat,santali
sc,sardinijski
scn,sicilijanski
sco,škotski
sd,sindi
se,severni sami
sel,selkap
sg,sango
sga,staroirski
sh,srpskohrvatski
shn,šan
si,singaleski
sid,sidamo
sk,slovački
sl,slovenački
sm,samoanski
sma,južni sami
smj,lule sami
smn,inari sami
sms,skoltski jezik
sn,šona
snk,soninke
so,somalski
sog,sodžijenski
sq,albanski
sr,srpski
srn,srananski tongo
srr,serer
ss,svati
st,sesoto
su,sudanski
suk,sukuma
sus,susu
sux,sumerski
sv,švedski
sw,svahili
swb,komorski
syc,klasični sirijski
syr,sirijski
ta,tamilski
te,telugu
tem,timne
ter,tereno
tet,tetum
tg,tađik
th,tajlandski
ti,tigrinja
tig,tigre
tiv,tiv
tk,turkmenski
tkl,tokelau
tl,tagalski
tlh,klingonski
tli,tlingit
tmh,tamašek
tn,tsvana
to,tonga
tog,njasa tonga
tpi,tok pisin
tr,turski
ts,tsonga
tsi,tsimšian
tt,tatarski
tum,tumbuka
tvl,tuvalu
tw,tvi
ty,tahićanski
tyv,tuvinijski
udm,udmurt
ug,ujgurski
uga,ugaritski
uk,ukrajinski
umb,umbundu
und,nepoznati ili nevažeći jezik
ur,urdu
uz,uzbečki
vai,vai
ve,venda
vi,vijetnamski
vo,volapük
vot,votski
wa,valun
wal,valamo
war,varej
was,vašo
wo,volof
xal,kalmik
xh,khosa
yao,jao
yap,japeški
yi,jidiš
yo,jorubanski
yue,kantonski
za,zuang
zap,zapotečki
zbl,blisimboli
zen,zenaga
zh,kineski
zh_Hans,kineski (pojednostavljen)
zh_Hant,kineski (tradicionalni)
zu,zulu
zun,zuni
zxx,bez lingvističkog sadržaja
zza,zaza
