Afar (aa)
Mittelfranzösisch (frm)
Altfranzösisch (fro)
Nordfriesisch (frr)
Oschtfriesisch (frs)
Friulisch (fur)
Friesisch (fy)
Iirisch (ga)
Ga (gaa)
Gayo (gay)
Gbaya (gba)
Schottisch-Gäälisch (gd)
Geez (gez)
Gilbertesisch (gil)
Galizisch (gl)
Mittelhochtüütsch (gmh)
Guarani (gn)
Althochtüütsch (goh)
Gondi (gon)
Mongondou (gor)
Gotisch (got)
Grebo (grb)
Altgriechisch (grc)
Schwiizertüütsch (gsw)
Gujarati (gu)
Manx-Gäälisch (gv)
Kutchinisch (gwi)
Haussa (ha)
Haida (hai)
Hawaiianisch (haw)
Hebräisch (he)
Hindi (hi)
Hiligaynonisch (hil)
Hethitisch (hit)
Miao (hmn)
Hiri-Motu (ho)
Kroazisch (hr)
Obersorbisch (hsb)
Haitisch (ht)
Ungarisch (hu)
Hupa (hup)
Armenisch (hy)
Herero (hz)
Interlingua (ia)
Ibanisch (iba)
Indonesisch (id)
Interlingue (ie)
Igbo (ig)
Sezuanischs Yi (ii)
Inupiak (ik)
Ilokano (ilo)
Inguschisch (inh)
Ido (io)
Iisländisch (is)
Italiänisch (it)
Inukitut (iu)
Japanisch (ja)
Lojbanisch (jbo)
Jüüdisch-Persisch (jpr)
Jüüdisch-Arabisch (jrb)
Javanisch (jv)
Georgisch (ka)
Karakalpakisch (kaa)
Kabylisch (kab)
Kachin-Schpraach (kac)
Jju (kaj)
Kamba (kam)
Kawi (kaw)
Kabardinisch (kbd)
Tyap (kcg)
Kabuverdianu (kea)
Koro (kfo)
Kongolesisch (kg)
Khasisch (kha)
Sakisch (kho)
Kikuyu-Schpraach (ki)
Kwanyama (kj)
Kasachisch (kk)
Gröönländisch (kl)
Kambodschanisch (km)
Kimbundu-Schpraach (kmb)
Kannada (kn)
Koreaanisch (ko)
Konkani (kok)
Kosraeanisch (kos)
Kpelle-Schpraach (kpe)
Kanuri-Schpraach (kr)
Karatschaiisch-Balkarisch (krc)
Karelisch (krl)
Oraon-Schpraach (kru)
Kaschmirisch (ks)
Kurdisch (ku)
Kumükisch (kum)
Kutenai-Schpraach (kut)
Komi-Schpraach (kv)
Kornisch (kw)
Kirgiisisch (ky)
Latiin (la)
Ladino (lad)
Lahndanisch (lah)
Lambanisch (lam)
Luxemburgisch (lb)
Lesgisch (lez)
Ganda-Schpraach (lg)
Limburgisch (li)
Lingala (ln)
Laozisch (lo)
Mongo (lol)
Rotse-Schpraach (loz)
Litauisch (lt)
Luba (lu)
Luba-Lulua (lua)
Luiseno-Schpraach (lui)
Lunda-Schpraach (lun)
Luo-Schpraach (luo)
Lushai-Schpraach (lus)
Olulujia (luy)
Lettisch (lv)
Maduresisch (mad)
Khotta (mag)
Maithili (mai)
Makassarisch (mak)
Manding-Schpraach (man)
Massai-Schpraach (mas)
Mokschamordwinisch (mdf)
Mandaresisch (mdr)
Mende-Schpraach (men)
Madagassisch (mg)
Mittelirisch (mga)
Marschallesisch (mh)
Maori (mi)
Micmac-Schpraach (mic)
Minangkabau-Schpraach (min)
Mazedonisch (mk)
Malayalam (ml)
Mongolisch (mn)
Mandschurisch (mnc)
Meithei-Schpraach (mni)
Mohawk-Schpraach (moh)
Mossi-Schpraach (mos)
Marathi (mr)
Malaiisch (ms)
Maltesisch (mt)
Mehrschpraachig (mul)
Muskogee-Schpraach (mus)
Mirandesisch (mwl)
Marwarisch (mwr)
Birmanisch (my)
Erzya (myv)
Nauruisch (na)
Neapolitanisch (nap)
Norwegisch Bokmål (nb)
Nord-Ndebele-Schpraach (nd)
Nidertüütsch (nds)
Nepalesisch (ne)
Newarisch (new)
Ndonga (ng)
Nias-Schpraach (nia)
Niue-Schpraach (niu)
Niderländisch (nl)
Fläämisch (nl_BE)
Norwegisch Nynorsk (nn)
Norwegisch (no)
Nogaisch (nog)
Altnordisch (non)
N’Ko (nqo)
Süüd-Ndebele-Schpraach (nr)
Nord-Sotho-Schpraach (nso)
Navajo-Schpraach (nv)
Alt-Newari (nwc)
Chewa-Schpraach (ny)
Nyamwezi-Schpraach (nym)
Nyankole (nyn)
Nyoro (nyo)
Nzima (nzi)
Okzitanisch (oc)
Ojibwa-Schpraach (oj)
Oromo (om)
Orija (or)
Ossezisch (os)
Osage-Schpraach (osa)
Osmanisch (ota)
Pandschabisch (pa)
Pangasinanisch (pag)
Mittelpersisch (pal)
Pampanggan-Schpraach (pam)
Papiamento (pap)
Palau (pau)
Altpersisch (peo)
Phönikisch (phn)
Pali (pi)
Polnisch (pl)
Ponapeanisch (pon)
Altprovenzalisch (pro)
Paschtu (ps)
Portugiisisch (pt)
Brasilianischs Portugiisisch (pt_BR)
Iberischs Portugiisisch (pt_PT)
Quechua (qu)
Rajasthani (raj)
Oschterinsel-Schpraach (rap)
Rarotonganisch (rar)
Rätoromanisch (rm)
Rundi-Schpraach (rn)
Rumänisch (ro)
Moldawisch (ro_MD)
Zigüünerschpraach (rom)
Root (root)
Russisch (ru)
Aromunisch (rup)
Ruandisch (rw)
Sanschkrit (sa)
Sandawe-Schpraach (sad)
Jakutisch (sah)
Samaritanisch (sam)
Sasak (sas)
Santali (sat)
Sardisch (sc)
Sizilianisch (scn)
Schottisch (sco)
Sindhi (sd)
Nord-Samisch (se)
Selkupisch (sel)
Sango (sg)
Altirisch (sga)
Serbo-Kroatisch (sh)
Schan-Schpraach (shn)
Singhalesisch (si)
Sidamo (sid)
Slowakisch (sk)
Slowenisch (sl)
Samoanisch (sm)
Süüd-Samisch (sma)
Lule-Samisch (smj)
Inari-Samisch (smn)
Skolt-Samisch (sms)
Schhona (sn)
Soninke-Schpraach (snk)
Somali (so)
Sogdisch (sog)
Albanisch (sq)
Serbisch (sr)
Srananisch (srn)
Serer-Schpraach (srr)
Swazi (ss)
Süüd-Sotho-Schpraach (st)
Sundanesisch (su)
Sukuma-Schpraach (suk)
Susu (sus)
Sumerisch (sux)
Schwedisch (sv)
Suaheli (sw)
Shimaorisch (swb)
Altsyrisch (syc)
Syrisch (syr)
Tamilisch (ta)
Telugu (te)
Temne (tem)
Tereno-Schpraach (ter)
Tetum-Schpraach (tet)
Tadschikisch (tg)
Thailändisch (th)
Tigrinja (ti)
Tigre (tig)
Tiv-Schpraach (tiv)
Turkmenisch (tk)
Tokelauanisch (tkl)
Tagalog (tl)
Klingonisch (tlh)
Tlingit-Schpraach (tli)
Tamaseq (tmh)
Tswana-Schpraach (tn)
Tongaisch (to)
Tsonga-Schpraach (tog)
Neumelanesisch (tpi)
Türkisch (tr)
Tsonga (ts)
Tsimshian-Schpraach (tsi)
Tatarisch (tt)
Tumbuka-Schpraach (tum)
Elliceanisch (tvl)
Twi (tw)
Tahitisch (ty)
Tuwinisch (tyv)
Udmurtisch (udm)
Uigurisch (ug)
Ugaritisch (uga)
Ukrainisch (uk)
Mbundu-Schpraach (umb)
Unbeschtimmti Schpraach (und)
Urdu (ur)
Usbekisch (uz)
Vai-Schpraach (vai)
Venda-Schpraach (ve)
Vietnamesisch (vi)
Volapük (vo)
Wotisch (vot)
Wallonisch (wa)
Walamo-Schpraach (wal)
Waray (war)
Washo-Schpraach (was)
Wolof (wo)
Kalmückisch (xal)
Xhosa (xh)
Yao-Schpraach (yao)
Yapesisch (yap)
Jiddisch (yi)
Yoruba (yo)
Kantonesisch (yue)
Zhuang (za)
Zapotekisch (zap)
Bliss-Symbool (zbl)
Zenaga (zen)
Chineesisch (zh)
Veräifachts Chineesisch (zh_Hans)
Tradizionells Chineesisch (zh_Hant)
Zulu (zu)
Zuni-Schpraach (zun)
Kän schpraachliche Inhalt (zxx)
Zaza (zza)
