aa,afár
lg,ganda
li,limbúrgíska
ln,lingala
lo,laó
lol,mongó
loz,lozi
lt,litháíska
lu,lúbakatanga
lua,luba-lulua
lui,lúisenó
lun,lúnda
luo,lúó
lus,lúsaí
luy,olulujía
lv,lettneska
mad,madúrska
mag,magahí
mai,maítílí
mak,makasar
man,mandingó
mas,masaí
mdf,moksa
mdr,mandar
men,mende
mfe,morisyen
mg,malagasíska
mga,miðírska
mh,marshallska
mi,maórí
mic,mikmak
min,mínangkabá
mk,makedónska
ml,malajalam
mn,mongólska
mnc,mansjú
mni,manípúrí
moh,móhíska
mos,mossí
mr,maratí
ms,malaíska
mt,maltneska
mul,margvísleg mál
mus,krík
mwl,mirandesíska
mwr,marvarí
my,burmneska
myv,ersja
na,nárúska
nap,napólíska
nb,norskt bókmál
nd,norðurndebele
nds,lágþýska; lágsaxneska
ne,nepalska
new,nevarí
ng,ndonga
nia,nías
niu,níveska
nl,hollenska
nl_BE,flæmska
nn,nýnorska
no,norska
nog,nógaí
non,norræna
nqo,n’ko
nr,suðurndebele
nso,norðursótó
nv,navahó
nwc,klassísk nevaríska
ny,njanja; sísjeva; sjeva
nym,njamvesí
nyn,nyankole
nyo,njóró
nzi,nsíma
oc,oksítaníska
oj,ojibva
om,oromo
or,óría
os,ossetíska
osa,ósage
ota,"tyrkneska, ottóman"
pa,púnjabí
pag,pangasínmál
pal,palaví
pam,pampanga
pap,papíamentó
pau,paláska
peo,fornpersneska
phn,fönikíska
pi,palí
pl,pólska
pon,ponpeiska
pro,fornpróvensalska
ps,pastú
pt,portúgalska
pt_BR,brasílísk portúgalska
pt_PT,evrópsk portúgalska
qu,kvesjúa
raj,rajastaní
rap,rapanúí
rar,rarótongska
rm,rómanska
rn,rúndí
ro,rúmenska
ro_MD,moldóvska
rom,romaní
root,rót
ru,rússneska
rup,arúmenska
rw,kínjarvanda
sa,sanskrít
sad,sandave
sah,jakút
sam,samversk arameíska
sas,sasak
sat,santalí
sc,sardínska
scn,sikileyska
sco,skoska
sd,sindí
se,norðursamíska
sel,selkúp
sg,sangó
sga,fornírska
sh,serbókróatíska
shn,sjan
si,sinhala
sid,sídamó
sk,slóvakíska
sl,slóvenska
sm,samóska
sma,suðursamíska
smj,lúlesamíska
smn,enaresamíska
sms,skoltesamíska
sn,shóna
snk,sóninke
so,sómalska
sog,sogdíen
sq,albanska
sr,serbneska
srn,sranan tongo
srr,serer
ss,svatí
ssy,saho
st,suðursótó
su,súndanska
suk,súkúma
sus,súsú
sux,súmerska
sv,sænska
sw,svahílí
swb,shimaoríska
syc,klassísk sýrlenska
syr,sýrlenska
ta,tamílska
te,telúgú
tem,tímne
ter,terenó
tet,tetúm
tg,tadsjikska
th,taílenska
ti,tígrinja
tig,tígre
tiv,tív
tk,túrkmenska
tkl,tókeláska
tl,tagalog
tlh,klingonska
tli,tlingit
tmh,tamasjek
tn,tsúana
to,tongverska
tog,tongverska (nyasa)
tpi,tokpisin
tr,tyrkneska
ts,tsonga
tsi,tsimsíska
tt,tatarska
tum,túmbúka
tvl,túvalúska
tw,tví
ty,tahítíska
tyv,túvínska
udm,údmúrt
ug,úígúr
uga,úgarítíska
uk,úkraínska
umb,úmbúndú
und,óþekkt tungumál
ur,úrdú
uz,úsbekska
vai,vaí
ve,venda
vi,víetnamska
vo,volapyk
vot,votíska
wa,vallónska
wal,valamó
war,varaí
was,vasjó
wo,volof
xal,kalmúkska
xh,sósa
yao,jaó
yap,japíska
yi,jiddíska
yo,jórúba
yue,kantoneska
za,súang
zap,sapótek
zbl,blisstákn
zen,senaga
zgh,staðlað marokkóskt tamazight
zh,kínverska
zh_Hans,kínverska (einfölduð)
zh_Hant,kínverska (hefðbundin)
zu,súlú
zun,súní
zxx,ekkert tungumálaefni
zza,zázáíska
