阿法文 (aa)
高地德文 (瑞士) (de_CH)
德拉瓦文 (del)
斯拉夫 (den)
多格里布文 (dgr)
丁卡文 (din)
扎爾馬文 (dje)
多格來文 (doi)
下索布文 (dsb)
杜亞拉文 (dua)
中古荷蘭文 (dum)
迪維西文 (dv)
朱拉文 (dyo)
迪尤拉文 (dyu)
宗卡文 (dz)
達薩文 (dzg)
恩布文 (ebu)
埃維文 (ee)
埃菲克文 (efi)
古埃及文 (egy)
艾卡朱克文 (eka)
希臘文 (el)
埃蘭文 (elx)
英文 (en)
英文 (澳洲) (en_AU)
英文 (加拿大) (en_CA)
英文 (英國) (en_GB)
英文 (美國) (en_US)
中古英文 (enm)
世界文 (eo)
西班牙文 (es)
西班牙文 (拉丁美洲) (es_419)
西班牙文 (歐洲) (es_ES)
西班牙文 (墨西哥) (es_MX)
愛沙尼亞文 (et)
巴斯克文 (eu)
依汪都文 (ewo)
波斯文 (fa)
芳族文 (fan)
芳蒂文 (fat)
富拉文 (ff)
芬蘭文 (fi)
菲律賓文 (fil)
斐濟文 (fj)
法羅文 (fo)
豐文 (fon)
法文 (fr)
法文 (瑞士) (fr_CH)
中古法文 (frm)
古法文 (fro)
北弗里西亞文 (frr)
東弗里西亞文 (frs)
弗留利文 (fur)
西弗里西亞文 (fy)
愛爾蘭文 (ga)
加族文 (gaa)
加約文 (gay)
葛巴亞文 (gba)
蘇格蘭蓋爾文 (gd)
吉茲文 (gez)
吉爾伯特群島文 (gil)
加里西亞文 (gl)
中古高地德文 (gmh)
瓜拉尼文 (gn)
古高地日耳曼文 (goh)
岡德文 (gon)
科隆達羅文 (gor)
哥德文 (got)
格列博文 (grb)
古希臘文 (grc)
德文（瑞士） (gsw)
古吉拉特文 (gu)
古西文 (guz)
曼島文 (gv)
圭契文 (gwi)
豪撒文 (ha)
海達文 (hai)
夏威夷文 (haw)
希伯來文 (he)
北印度文 (hi)
希利蓋農文 (hil)
赫梯文 (hit)
孟文 (hmn)
西里莫圖土文 (ho)
克羅埃西亞文 (hr)
上索布文 (hsb)
海地文 (ht)
匈牙利文 (hu)
胡帕文 (hup)
亞美尼亞文 (hy)
赫雷羅文 (hz)
國際文 (ia)
伊班文 (iba)
伊比比奧文 (ibb)
印尼文 (id)
國際文（E） (ie)
伊布文 (ig)
四川彝文 (ii)
依奴皮維克文 (ik)
伊洛闊文 (ilo)
印古什文 (inh)
伊多文 (io)
冰島文 (is)
義大利文 (it)
因紐特文 (iu)
日文 (ja)
邏輯文 (jbo)
恩格姆巴文 (jgo)
馬恰美文 (jmc)
猶太教-波斯文 (jpr)
猶太阿拉伯文 (jrb)
爪哇文 (jv)
喬治亞文 (ka)
卡拉卡爾帕克文 (kaa)
卡比爾文 (kab)
卡琴文 (kac)
卡捷文 (kaj)
卡姆巴文 (kam)
卡威文 (kaw)
卡巴爾達文 (kbd)
卡念布文 (kbl)
卡塔布文 (kcg)
馬孔德文 (kde)
卡布威爾第文 (kea)
科羅文 (kfo)
剛果文 (kg)
卡西文 (kha)
和闐文 (kho)
西桑海文 (khq)
吉庫尤文 (ki)
廣亞馬文 (kj)
哈薩克文 (kk)
卡庫文 (kkj)
格陵蘭文 (kl)
卡倫金文 (kln)
高棉文 (km)
金邦杜文 (kmb)
坎那達文 (kn)
韓文 (ko)
貢根文 (kok)
科斯雷恩文 (kos)
克佩列文 (kpe)
卡努裡文 (kr)
卡拉柴-包爾卡爾文 (krc)
卡累利阿文 (krl)
庫魯科文 (kru)
喀什米爾文 (ks)
尚巴拉文 (ksb)
巴菲亞文 (ksf)
科隆文 (ksh)
庫爾德文 (ku)
庫密克文 (kum)
庫特奈文 (kut)
科米文 (kv)
康瓦耳文 (kw)
吉爾吉斯文 (ky)
拉丁文 (la)
拉迪諾文 (lad)
朗吉文 (lag)
拉亨達文 (lah)
蘭巴文 (lam)
盧森堡文 (lb)
列茲干文 (lez)
干達文 (lg)
林堡文 (li)
林加拉文 (ln)
寮文 (lo)
芒戈文 (lol)
洛齊文 (loz)
立陶宛文 (lt)
魯巴加丹加文 (lu)
魯巴魯魯亞文 (lua)
路易塞諾文 (lui)
盧恩達文 (lun)
盧奧文 (luo)
盧晒文 (lus)
盧雅文 (luy)
拉脫維亞文 (lv)
馬都拉文 (mad)
馬法文 (maf)
馬加伊文 (mag)
邁蒂利文 (mai)
望加錫文 (mak)
曼丁哥文 (man)
馬賽文 (mas)
馬巴文 (mde)
莫克沙文 (mdf)
曼達文 (mdr)
門德文 (men)
梅魯文 (mer)
克里奧文（模里西斯） (mfe)
馬爾加什文 (mg)
中古愛爾蘭文 (mga)
馬夸文 (mgh)
美塔文 (mgo)
馬紹爾文 (mh)
毛利文 (mi)
米克馬克文 (mic)
米南卡堡文 (min)
馬其頓文 (mk)
馬來亞拉姆文 (ml)
蒙古文 (mn)
滿族文 (mnc)
曼尼普裡文 (mni)
莫霍克文 (moh)
莫西文 (mos)
馬拉地文 (mr)
馬來文 (ms)
馬爾他文 (mt)
蒙當文 (mua)
多種語言 (mul)
克里克文 (mus)
米蘭德斯文 (mwl)
馬爾尼裡文 (mwr)
緬甸文 (my)
姆耶內文 (mye)
厄爾茲亞文 (myv)
諾魯文 (na)
拿波里文 (nap)
納馬文 (naq)
巴克摩挪威文 (nb)
北地畢列文 (nd)
低地德文 (nds)
尼泊爾文 (ne)
尼瓦爾文 (new)
恩東加文 (ng)
尼亞斯文 (nia)
紐埃文 (niu)
荷蘭文 (nl)
佛蘭芒文 (nl_BE)
夸西奧文 (nmg)
耐諾斯克挪威文 (nn)
恩甘澎文 (nnh)
挪威文 (no)
諾蓋文 (nog)
古諾爾斯文 (non)
西非書面語言（N'ko） (nqo)
南地畢列文 (nr)
北索托文 (nso)
努埃爾文 (nus)
納瓦霍文 (nv)
古尼瓦爾文 (nwc)
尼揚賈文 (ny)
尼揚韋齊文 (nym)
尼揚科萊文 (nyn)
尼奧囉文 (nyo)
尼茲馬文 (nzi)
奧克西坦文 (oc)
奧杰布瓦文 (oj)
奧羅莫文 (om)
歐利亞文 (or)
奧塞提文 (os)
歐塞奇文 (osa)
鄂圖曼土耳其文 (ota)
旁遮普文 (pa)
潘加辛文 (pag)
巴列維文 (pal)
潘帕嘉文 (pam)
帕皮阿門托文 (pap)
帛琉文 (pau)
古波斯文 (peo)
腓尼基文 (phn)
巴利文 (pi)
波蘭文 (pl)
波那貝文 (pon)
古普羅旺斯文 (pro)
普什圖文 (ps)
葡萄牙文 (pt)
葡萄牙文 (歐洲) (pt_PT)
蓋楚瓦文 (qu)
拉賈斯坦諸文 (raj)
復活島文 (rap)
拉羅通加文 (rar)
羅曼斯文 (rm)
隆迪文 (rn)
羅馬尼亞文 (ro)
摩爾多瓦文 (ro_MD)
蘭博文 (rof)
吉普賽文 (rom)
根語言 (root)
俄文 (ru)
羅馬尼亞語系 (rup)
盧安達文 (rw)
羅瓦文 (rwk)
梵文 (sa)
桑達韋文 (sad)
雅庫特文 (sah)
薩瑪利亞阿拉姆文 (sam)
薩布魯文 (saq)
撒撒克文 (sas)
散塔利文 (sat)
甘拜文 (sba)
桑古文 (sbp)
撒丁文 (sc)
西西里文 (scn)
蘇格蘭文 (sco)
印度語 (sd)
北方薩米文 (se)
塞訥卡文 (see)
賽納文 (seh)
瑟爾卡普文 (sel)
東桑海文 (ses)
桑戈文 (sg)
古愛爾蘭文 (sga)
塞爾維亞克羅埃西亞文 (sh)
希爾哈文 (shi)
撣文 (shn)
阿拉伯文（查德） (shu)
僧伽羅文 (si)
希達摩文 (sid)
斯洛伐克文 (sk)
斯洛維尼亞文 (sl)
薩摩亞文 (sm)
南薩米文 (sma)
魯勒薩米文 (smj)
伊納裡薩米文 (smn)
斯科特薩米文 (sms)
塞內加爾文 (sn)
索尼基文 (snk)
索馬利文 (so)
索格底亞納文 (sog)
阿爾巴尼亞文 (sq)
塞爾維亞文 (sr)
蘇拉南東墎文 (srn)
塞雷爾文 (srr)
斯瓦特文 (ss)
薩霍文 (ssy)
塞索托文 (st)
巽他文 (su)
蘇庫馬文 (suk)
蘇蘇文 (sus)
蘇美文 (sux)
瑞典文 (sv)
史瓦希里文 (sw)
葛摩文 (swb)
史瓦希里文（剛果） (swc)
古敘利亞文 (syc)
敘利亞文 (syr)
坦米爾文 (ta)
泰盧固文 (te)
提姆文 (tem)
特索文 (teo)
泰雷諾文 (ter)
泰頓文 (tet)
塔吉克文 (tg)
泰文 (th)
提格利尼亞文 (ti)
蒂格雷文 (tig)
提夫文 (tiv)
土庫曼文 (tk)
托克勞文 (tkl)
塔加路族文 (tl)
克林貢文 (tlh)
特林基特文 (tli)
塔馬奇克文 (tmh)
突尼西亞文 (tn)
東加文 (to)
東加文（尼亞薩） (tog)
托比辛文 (tpi)
土耳其文 (tr)
太魯閣文 (trv)
特松加文 (ts)
欽西安文 (tsi)
韃靼文 (tt)
圖姆布卡文 (tum)
吐瓦魯文 (tvl)
特威文 (tw)
北桑海文 (twq)
大溪地文 (ty)
土凡文 (tyv)
塔馬齊格特文 (tzm)
沃蒂艾克文 (udm)
維吾爾文 (ug)
烏加列文 (uga)
烏克蘭文 (uk)
姆本杜文 (umb)
未知語言 (und)
烏都文 (ur)
烏茲別克文 (uz)
越南文（Vai） (vai)
溫達文 (ve)
越南文 (vi)
沃拉普克文 (vo)
沃提克文 (vot)
溫舊文 (vun)
瓦隆文 (wa)
瓦瑟文 (wae)
瓦拉莫文 (wal)
瓦瑞文 (war)
瓦紹文 (was)
沃洛夫文 (wo)
卡爾梅克文 (xal)
科薩文 (xh)
索加文 (xog)
瑤文 (yao)
雅浦文 (yap)
洋卞文 (yav)
耶姆巴文 (ybb)
意第緒文 (yi)
約魯巴文 (yo)
粵語 (yue)
壯文 (za)
薩波特克文 (zap)
布列斯符號 (zbl)
澤納加文 (zen)
標準摩洛哥塔馬塞特文 (zgh)
中文 (zh)
簡體中文 (zh_Hans)
繁體中文 (zh_Hant)
祖魯文 (zu)
祖尼文 (zun)
無語言內容 (zxx)
扎扎文 (zza)
