Afar (aa)
Judeo-Perzysk (jpr)
Judeo-Arabysk (jrb)
Javaansk (jv)
Georgysk (ka)
Karakalpaks (kaa)
Kabyle (kab)
Kachin (kac)
Jju (kaj)
Kamba (kam)
Kawi (kaw)
Kabardysk (kbd)
Kanembu (kbl)
Tyap (kcg)
Makonde (kde)
Kaapverdysk Creools (kea)
Koro (kfo)
Kongo (kg)
Khasi (kha)
Khotaneesk (kho)
Koyra Chiini (khq)
Kikuyu (ki)
Kuanyama (kj)
Kazachs (kk)
Kako (kkj)
Grienlâns (kl)
Kalenjin (kln)
Khmer (km)
Kimbundu (kmb)
Kannada (kn)
Koreaansk (ko)
Konkani (kok)
Kosraeaansk (kos)
Kpelle (kpe)
Kanuri (kr)
Karachay-Balkar (krc)
Karelysk (krl)
Kurukh (kru)
Kasjmiri (ks)
Shambala (ksb)
Bafia (ksf)
Kölsch (ksh)
Koerdysk (ku)
Koemuks (kum)
Kutenai (kut)
Komi (kv)
Cornish (kw)
Kirgizysk (ky)
Latyn (la)
Ladino (lad)
Langi (lag)
Lahnda (lah)
Lamba (lam)
Luxemburgs (lb)
Lezgysk (lez)
Ganda (lg)
Limburgs (li)
Lakota (lkt)
Lingala (ln)
Laotiaansk (lo)
Mongo (lol)
Lozi (loz)
Litouws (lt)
Luba-Katanga (lu)
Luba-Lulua (lua)
Luiseno (lui)
Lunda (lun)
Luo (luo)
Lushai (lus)
Luyia (luy)
Letlâns (lv)
Madurees (mad)
Mafa (maf)
Magahi (mag)
Maithili (mai)
Makassaars (mak)
Mandingo (man)
Masai (mas)
Maba (mde)
Moksha (mdf)
Mandar (mdr)
Mende (men)
Meru (mer)
Morisyen (mfe)
Malagasysk (mg)
Middeliers (mga)
Makhuwa-Meetto (mgh)
Meta’ (mgo)
Marshallees (mh)
Maori (mi)
Mi’kmaq (mic)
Minangkabau (min)
Macedonysk (mk)
Malayalam (ml)
Mongools (mn)
Mantsjoe (mnc)
Manipoeri (mni)
Mohawk (moh)
Mossi (mos)
Marathi (mr)
Maleis (ms)
Maltees (mt)
Mundang (mua)
Meardere talen (mul)
Creek (mus)
Mirandees (mwl)
Marwari (mwr)
Birmees (my)
Myene (mye)
Erzja (myv)
Nauruaansk (na)
Napolitaansk (nap)
Nama (naq)
Noors - Bokmål (nb)
Noard-Ndbele (nd)
Laagduits (nds)
Nepalees (ne)
Newari (new)
Ndonga (ng)
Nias (nia)
Niueaansk (niu)
Nederlânsk (nl)
Vlaams (nl_BE)
Ngumba (nmg)
Noors - Nynorsk (nn)
Ngiemboon (nnh)
Noors (no)
Nogai (nog)
Aldnoarsk (non)
N’ko (nqo)
Sûd-Ndbele (nr)
Noard-Sotho (nso)
Nuer (nus)
Navajo (nv)
Klassiek Newari (nwc)
Nyanja (ny)
Nyamwezi (nym)
Nyankole (nyn)
Nyoro (nyo)
Nzima (nzi)
Occitaansk (oc)
Ojibwa (oj)
Oromo (om)
Odia (or)
Ossetysk (os)
Osage (osa)
Ottomaansk-Turks (ota)
Punjabi (pa)
Pangasinan (pag)
Pahlavi (pal)
Pampanga (pam)
Papiaments (pap)
Palauaansk (pau)
Aldperzysk (peo)
Foenisysk (phn)
Pali (pi)
Poalsk (pl)
Pohnpeiaansk (pon)
Aldprovençaals (pro)
Pasjtoe (ps)
Portugeesk (pt)
Brazyljaansk Portugees (pt_BR)
Europees Portugees (pt_PT)
Quechua (qu)
Rajasthani (raj)
Rapanui (rap)
Rarotongan (rar)
Reto-Romaansk (rm)
Kirundi (rn)
Roemeensk (ro)
Moldavysk (ro_MD)
Rombo (rof)
Romani (rom)
Root (root)
Russysk (ru)
Aromaniaansk (rup)
Kinyarwanda (rw)
Rwa (rwk)
Sanskriet (sa)
Sandawe (sad)
Jakoets (sah)
Samaritaansk-Arameesk (sam)
Samburu (saq)
Sasak (sas)
Santali (sat)
Ngambay (sba)
Sangu (sbp)
Sardinysk (sc)
Siciliaansk (scn)
Schots (sco)
Sindhi (sd)
Noard-Samysk (se)
Seneca (see)
Sena (seh)
Selkup (sel)
Koyraboro Senni (ses)
Sango (sg)
Aldyrsk (sga)
Servokroatysk (sh)
Tashelhiyt (shi)
Shan (shn)
Tsjadysk Arabysk (shu)
Singalees (si)
Sidamo (sid)
Slowaaks (sk)
Sloveensk (sl)
Samoaansk (sm)
Sûd-Samysk (sma)
Lule Sami (smj)
Inari Sami (smn)
Skolt Sami (sms)
Shona (sn)
Soninke (snk)
Somalysk (so)
Sogdysk (sog)
Albaneesk (sq)
Servysk (sr)
Sranantongo (srn)
Serer (srr)
Swazi (ss)
Saho (ssy)
Sûd-Sotho (st)
Soendaneesk (su)
Sukuma (suk)
Soesoe (sus)
Soemerysk (sux)
Zweeds (sv)
Swahili (sw)
Shimaore (swb)
Congo Swahili (swc)
Klassiek Syrysk (syc)
Syrysk (syr)
Tamil (ta)
Telugu (te)
Timne (tem)
Teso (teo)
Tereno (ter)
Tetun (tet)
Tadzjieks (tg)
Thais (th)
Tigrinya (ti)
Tigre (tig)
Tiv (tiv)
Turkmeens (tk)
Tokelaus (tkl)
Tagalog (tl)
Klingon (tlh)
Tlingit (tli)
Tamashek (tmh)
Tswana (tn)
Tongaansk (to)
Nyasa Tonga (tog)
Tok Pisin (tpi)
Turks (tr)
Taroko (trv)
Tsonga (ts)
Tsimshian (tsi)
Tataars (tt)
Toemboeka (tum)
Tuvaluaansk (tvl)
Twi (tw)
Tasawaq (twq)
Tahitysk (ty)
Tuvinysk (tyv)
Tamazight (Sintraal-Marokko) (tzm)
Oedmoerts (udm)
Oeigoers (ug)
Oegaritysk (uga)
Oekraïens (uk)
Umbundu (umb)
Onbekende taal (und)
Urdu (ur)
Oezbeeks (uz)
Vai (vai)
Venda (ve)
Vietnamees (vi)
Volapük (vo)
Votysk (vot)
Vunjo (vun)
Waals (wa)
Walser (wae)
Walamo (wal)
Waray (war)
Washo (was)
Wolof (wo)
Kalmyk (xal)
Xhosa (xh)
Soga (xog)
Yao (yao)
Yapees (yap)
Yangben (yav)
Yemba (ybb)
Jiddysk (yi)
Yoruba (yo)
Kantoneesk (yue)
Zhuang (za)
Zapotec (zap)
Blissymbolen (zbl)
Zenaga (zen)
Standert Marokkaanske Tamazight (zgh)
Sineesk (zh)
Ferienfâldich Sineesk (zh_Hans)
Tradisjoneel Sineesk (zh_Hant)
Zulu (zu)
Zuni (zun)
Gjin linguïstyske ynhâld (zxx)
Zaza (zza)
