aa,afarų
la,lotynų
lad,ladino
lag,langi
lah,landa
lam,lamba
lb,liuksemburgiečių
lez,lezginų
lg,ganda
li,limburgiš
ln,lingala
lo,laosiečių
lol,mongo
loz,lozi
lt,lietuvių
lu,luba katanga
lua,luba lulua
lui,luiseno
lun,lunda
luo,luo
lus,lušai
luy,luyia
lv,latvių
mad,madurezų
maf,mafų
mag,magahi
mai,maithili
mak,makasaro
man,mandingo
mas,masajų
mde,mabų
mdf,mokša
mdr,mandar
men,mende
mer,merų
mfe,morisijų
mg,malagasų
mga,Vidurio Airijos
mgh,makhuva-maeto
mh,Maršalo Salų
mi,maorių
mic,mikmak
min,minankabu
mk,makedonų
ml,malajalių
mn,mongolų
mnc,manču
mni,manipuri
moh,mohok
mos,mosi
mr,maratų
ms,malajiečių
mt,maltiečių
mua,mundangų
mul,kelios kalbos
mus,krykų
mwl,mirandezų
mwr,marvari
my,birmiečių
mye,mjenų
myv,erzyjų
na,naurų
nap,neapoliečių
naq,namų
nb,Norvegijos rašytinė – būkmolų
nd,šiaurės ndebelų
nds,Žemutinės Vokietijos
ne,nepaliečių
new,nevari
ng,ndongų
nia,nias
niu,niuenų
nl,olandų
nl_BE,flamandų
nmg,kvasių
nn,naujoji norvegų
nnh,ngiembūnų
no,norvegų
nog,nogų
non,norsu
nqo,enko
nr,pietų ndebele
nso,šiaurės sothų
nus,nuerų
nv,navajų
nwc,klasikinė nevari
ny,nianja
nym,niamvezi
nyn,niankole
nyo,nioro
nzi,nzima
oc,očitarų
oj,ojibva
om,oromų
or,orijų
os,osetinų
osa,osage
ota,osmanų turkų
pa,pendžabų
pag,pangasinan
pal,pahlavi
pam,pampanga
pap,papiemento
pau,palau
peo,senoji persų
phn,finikiečių
pi,pali
pl,lenkų
pon,ponapean
pro,senovės provansalų
ps,puštūnų
pt,portugalų
pt_BR,Brazilijos portugalų
pt_PT,Europos portugalų
qu,kečujų
raj,radžastano
rap,rapanui
rar,rarotongan
rm,retoromanų
rn,rundi
ro,rumunų
ro_MD,moldavų
rof,rombo
rom,romų
root,rūt
ru,rusų
rup,aromanių
rw,kinjarvanda
rwk,rwa
sa,sanskritas
sad,sandavi
sah,jakutų
sam,samarėjų aramių
saq,samburų
sas,sasak
sat,santali
sba,ngambajų
sbp,sangų
sc,sardiniečių
scn,siciliečių
sco,škotų
sd,sindų
se,šiaurinių samių
see,senecų
seh,senų
sel,selkup
ses,koyraboro seni
sg,sango
sga,senoji airių
sh,serbų-kroatų
shi,tachelhitų
shn,šan
shu,chadian arabų
si,sinhalų
sid,sidamo
sk,slovakų
sl,slovėnų
sm,samoa
sma,pietų sami
smj,lule sami
smn,inari sami
sms,skolt sami
sn,šona
snk,soninke
so,somaliečių
sog,sogdien
sq,albanų
sr,serbų
srn,sranan tongo
srr,sererų
ss,svati
ssy,saho
st,pietų sesuto
su,sundų
suk,sukuma
sus,susu
sux,šumerų
sv,švedų
sw,suahilių
swb,Comorian
swc,Kongo svahili
syc,klasikinė siriečių
syr,sirų
ta,tamilų
te,telugų
tem,timne
teo,teso
ter,tereno
tet,tetum
tg,tadžikų
th,tajų
ti,tigrajų
tig,tigre
tiv,tiv
tk,turkmėnų
tkl,tokelau
tl,tagalogų
tlh,klingonų
tli,tlingit
tmh,tamašek
tn,tsvana
to,tonganų
tog,niasa tongos
tpi,tok pisin
tr,turkų
trv,taroko
ts,tsonga
tsi,tsimšian
tt,totorių
tum,tumbukų
tvl,tuvalu
tw,tvi
twq,tasavakų
ty,taitiečių
tyv,tuvių
tzm,Centrinio Maroko tamazightų
udm,udmurtų
ug,uigūrų
uga,ugaritic
uk,ukrainiečių
umb,umbundu
und,nežinoma kalba
ur,urdų
uz,uzbekų
vai,vai
ve,venda
vi,vietnamiečių
vo,volapiuk
vot,votik
vun,vunjo
wa,valonų
wae,valserų
wal,valamo
war,varai
was,vašo
wo,volofų
xal,kalmukų
xh,kosų
xog,sogų
yao,jao
yap,japezų
yav,jangbenų
ybb,jembų
yi,jidiš
yo,jorubų
yue,kinų kalbos Kantono tarmė
za,chuang
zap,zapotekų
zbl,„Bliss“ simbolių
zen,zenaga
zgh,standartinė Maroko tamazigtų
zh,kinų
zh_Hans,supaprastintoji kinų
zh_Hant,tradicinė kinų
zu,zulų
zun,zuni
zxx,nėra kalbinio turinio
zza,zaza
