aa,აფარი
see,სენეკა
sel,სელკუპური
sga,ძველი ირლანდიური
sh,სერბულ-ხორვატული
shi,შილჰა
shn,შანი
shu,ჩადური არაბული
si,სინჰალური
sk,სლოვაკური
sl,სლოვენური
sm,სამოა
so,სომალიური
sq,ალბანური
sr,სერბული
st,სამხრეთ სოთოს ენა
su,სუნდური
sux,შუმერული
sv,შვედური
sw,სუაჰილი
swb,კომორული
syc,კლასიკური სირიული
syr,სირიული
ta,ტამილური
te,ტელუგუ
tg,ტაჯიკური
th,ტაი
ti,თიგრინია
tig,თიგრე
tk,თურქმენული
tlh,კლინგონი
tn,ტსვანა
to,ტონგანური
tr,თურქული
tt,თათრული
tw,თუი
tyv,ტუვა
udm,უდმურტული
ug,უიღურული
uga,უგარითული
uk,უკრაინული
und,უცნობი ენა
ur,ურდუ
uz,უზბეკური
vai,ვაი
vi,ვიეტნამური
wal,ველაითა
wo,ვოლოფური
xal,ყალმუხური
xh,ქჰოსა
yi,იდიში
yo,იორუბა
yue,კანტონური
zbl,ბლისსიმბოლოები
zen,ზენაგა
zgh,სტანდარტული მაროკოული ტამაზიგხტი
zh,ჩინური
zh_Hans,გამარტივებული ჩინური
zh_Hant,ტრადიციული ჩინური
zu,ზულუ
zxx,ლინგვისტური შიგთავსი არ არის
zza,ზაზაკი
