ab,abkhaziagbe
tn,tswanagbe
to,tongagbe
tpi,tok pisigbe
tr,tɛkigbe
ts,tsongagbe
tt,tatargbe
tvl,tuvalugbe
twq,tasawakgbe
ty,tahitigbe
tyv,tuviniagbe
udm,udmurtgbe
ug,uighurgbe
uk,ukraingbe
und,gbegbɔgblɔ manya
ur,urdugbe
uz,uzbekistangbe
vai,vaigbe
ve,vendagbe
vi,vietnamgbe
wae,walsegbe
war,waraygbe
wo,wolofgbe
xh,xhosagbe
yap,yapesigbe
yav,yangbengbe
ybb,yembagbe
yo,yorubagbe
yue,cantongbe
za,zhuangbe
zh,kinagbe
zh_Hans,tsainagbe
zh_Hant,blema tsainagbe
zu,zulugbe
zxx,gbegbɔgblɔ manɔmee
