Afar (aa)
Soninke (snk)
Somalies (so)
Albanees (sq)
Serwies (sr)
Sranan Tongo (srn)
Swazi (ss)
Saho (ssy)
Suid-Sotho (st)
Sundanees (su)
Sukuma (suk)
Sweeds (sv)
Swahili (sw)
Swahili (Kongo) (sw_CD)
Comoraans (swb)
Siriese (syr)
Tamil (ta)
Teloegoe (te)
Timne (tem)
Teso (teo)
Tetoem (tet)
Tadzjieks (tg)
Thai (th)
Tigrinya (ti)
Tigre (tig)
Turkmeens (tk)
Klingon (tlh)
Tswana (tn)
Tongaans (to)
Tok Pisin (tpi)
Turks (tr)
Taroko (trv)
Tsonga (ts)
Tataars (tt)
Toemboeka (tum)
Tuvalu (tvl)
Twi (tw)
Tasawaq (twq)
Tahities (ty)
Tuvinees (tyv)
Sentraal Atlas Tamazight (tzm)
Udmurt (udm)
Uighur (ug)
Oekraïens (uk)
Umbundu (umb)
Onbekende of ongeldige taal (und)
Oerdoe (ur)
Oezbeeks (uz)
Vai (vai)
Venda (ve)
Viëtnamees (vi)
Volapük (vo)
Vunjo (vun)
Walloon (wa)
Walser (wae)
Wolaytta (wal)
Waray (war)
Warlpiri (wbp)
Wolof (wo)
Kalmyk (xal)
Xhosa (xh)
Soga (xog)
Yangben (yav)
Yemba (ybb)
Jiddisj (yi)
Yoruba (yo)
Kantonees (yue)
Standaard Marokkaanse Tamazight (zgh)
Sjinees (zh)
Zoeloe (zu)
Zuni (zun)
Geen linguistiese inhoud (zxx)
Zaza (zza)
