афарська (aa)
магадхі (mag)
майтхілі (mai)
макасарська (mak)
мандінго (man)
масаї (mas)
маба (mde)
мокша (mdf)
мандарська (mdr)
менде (men)
меру (mer)
маврикійська креольська (mfe)
малагасійська (mg)
середньоірландська (mga)
макува-меето (mgh)
мета (mgo)
маршалльська (mh)
маорі (mi)
мікмак (mic)
мінангкабау (min)
македонська (mk)
малаялам (ml)
монгольська (mn)
манчжурська (mnc)
маніпурі (mni)
магавк (moh)
моссі (mos)
маратхі (mr)
малайська (ms)
мальтійська (mt)
мунданг (mua)
декілька мов (mul)
крік (mus)
мірандська (mwl)
марварі (mwr)
бірманська (my)
миін (mye)
ерзя (myv)
науру (na)
неаполітанська (nap)
нама (naq)
букмол (Норвегія) (nb)
ндебелє північна (nd)
нижньонімецька (nds)
непальська (ne)
неварі (new)
ндонга (ng)
ніаська (nia)
ніуе (niu)
голландська (nl)
фламандська (nl_BE)
квазіо (nmg)
нюношк (Норвегія) (nn)
нгємбун (nnh)
норвезька (no)
ногайська (nog)
давньонорвезька (non)
нко (nqo)
ндебелє південна (nr)
сото північна (nso)
нуер (nus)
навахо (nv)
неварі класична (nwc)
ньянджа (ny)
ньямвезі (nym)
ньянколе (nyn)
ньоро (nyo)
нзіма (nzi)
окитан (oc)
оджібва (oj)
оромо (om)
орія (or)
осетинська (os)
осейдж (osa)
османська (ota)
панджабі (pa)
пангасінанська (pag)
пехлеві (pal)
пампанга (pam)
пап’яменто (pap)
палауанська (pau)
давньоперська (peo)
фінікійсько-пунічна (phn)
палі (pi)
польська (pl)
понапе (pon)
давньопровансальська (pro)
пушту (ps)
португальська (pt)
португальська (Європа) (pt_PT)
кечуа (qu)
кіче (quc)
раджастхані (raj)
рапануї (rap)
раротонга (rar)
ретороманська (rm)
рунді (rn)
румунська (ro)
молдавська (ro_MD)
ромбо (rof)
циганська (rom)
корінь (root)
російська (ru)
арумунська (rup)
кіньяруанда (rw)
Рва (rwk)
санскрит (sa)
сандаве (sad)
якутська (sah)
самаритянська арамейська (sam)
самбуру (saq)
сасакська (sas)
сантальська (sat)
нгамбай (sba)
сангу (sbp)
сардинська (sc)
сицилійська (scn)
шотландська (sco)
сіндхі (sd)
саамська північна (se)
сенека (see)
сена (seh)
селькупська (sel)
койраборо сені (ses)
санго (sg)
давньоірландська (sga)
сербсько-хорватська (sh)
тачеліт (shi)
шанська (shn)
чадійська арабська (shu)
сингальська (si)
сідамо (sid)
словацька (sk)
словенська (sl)
самоанська (sm)
саамська південна (sma)
саамська луле (smj)
саамська інарі (smn)
саамська скольт (sms)
шона (sn)
сонінке (snk)
сомалі (so)
согдійська (sog)
албанська (sq)
сербська (sr)
сранан тонго (srn)
серер (srr)
сісваті (ss)
сахо (ssy)
сото південна (st)
сунданська (su)
сукума (suk)
сусу (sus)
шумерська (sux)
шведська (sv)
суахілі (sw)
коморська (swb)
конгійське суахілі (swc)
сирійська класична (syc)
сирійська (syr)
тамільська (ta)
телугу (te)
темне (tem)
тесо (teo)
терено (ter)
тетум (tet)
таджицька (tg)
тайська (th)
тигринья (ti)
тигре (tig)
тів (tiv)
туркменська (tk)
токелау (tkl)
тагальська (tl)
клінгон (tlh)
тлінгіт (tli)
тамашек (tmh)
тсвана (tn)
тонганська (to)
ньяса тонга (tog)
ток-пісін (tpi)
турецька (tr)
тароко (trv)
тсонга (ts)
цимшиан (tsi)
татарська (tt)
тумбука (tum)
тувалу (tvl)
тві (tw)
тасавак (twq)
таїтянська (ty)
тувинська (tyv)
центральномароканська тамазіт (tzm)
удмуртська (udm)
уйгурська (ug)
угаритська (uga)
українська (uk)
умбунду (umb)
невідома мова (und)
урду (ur)
узбецька (uz)
ваї (vai)
венда (ve)
вʼєтнамська (vi)
волап’юк (vo)
водська (vot)
вуньо (vun)
валлонська (wa)
Валзерська (wae)
валамо (wal)
варай (war)
вашо (was)
волоф (wo)
калмицька (xal)
кхоса (xh)
сога (xog)
яо (yao)
яп (yap)
янгбен (yav)
ємба (ybb)
ідиш (yi)
йоруба (yo)
кантонська (yue)
чжуан (za)
сапотекська (zap)
блісса мова (zbl)
зенага (zen)
стандартна марокканська берберська (zgh)
китайська (zh)
зулуська (zu)
зуньї (zun)
немає мовного вмісту (zxx)
зазакі (zza)
