aa,афар
kl,гренландски ескимоски
km,кхмерски
kmb,кимбунду
kn,каннада
ko,корейски
kok,конкани
kos,косраен
kpe,кпеле
kr,канури
krc,карачай-балкарски
krl,карелски
kru,курук
ks,кашмирски
ku,кюрдски
kum,кумикски
kut,кутенай
kv,Коми
kw,корнуолски келтски
ky,киргизки
la,латински
lad,ладино
lah,лахнда
lam,ламба
lb,люксембургски
lez,лезгински
lg,ганда
li,лимбургски
ln,лингала
lo,лаоски
lol,монго
loz,лози
lt,литовски
lu,луба катанга
lua,луба-лулуа
lui,луисеньо
lun,лунда
luo,луо
lus,лушаи
lv,латвийски
mad,мадурски
mag,магахи
mai,майтхили
mak,макасар
man,мандинго
mas,масайски
mdf,мокша
mdr,мандар
men,менде
mfe,морисиен
mg,малгашки
mga,средновековен ирландски
mh,маршалезе
mi,маорски
mic,микмак
min,минангбау
mk,македонски
ml,малаялам
mn,монголски
mnc,манчжурски
mni,манипури
moh,мохавк
mos,моси
mr,марати
ms,малайски
mt,малтийски
mul,многоезични
mus,крик
mwl,мирандийски
mwr,марвари
my,бирмански
myv,ерзиа
na,науру
nap,неаполитански
nb,норвежки букмол
nd,северен ндебеле
nds,долносаксонски
ne,непалски
new,неварски
ng,ндонга
nia,ниас
niu,ниуеан
nl,нидерландски
nl_BE,фламандски
nn,норвежки нюнорск
no,норвежки
nog,ногаи
non,старонорвежски
nqo,н’ко
nr,южен ндебеле
nso,северен сото
nv,навахо
nwc,класически невари
ny,чинянджа
nym,ниамвези
nyn,нианколе
nyo,нуоро
nzi,нзима
oc,окситански
oj,оджибва
om,оромо
or,ория
os,осетски
osa,оседжи
ota,отомански турски
pa,пенджабски
pag,пангасинан
pal,пехлевийски
pam,пампанга
pap,папиаменту
pau,палауан
peo,староперсийски
phn,финикийски
pi,пали
pl,полски
pon,похнпеиан
pro,провансалски
ps,пущу
pt,португалски
qu,кечуа
raj,раджастански
rap,рапа нуи
rar,рапотонган
rm,реторомански
rn,рунди
ro,румънски
ro_MD,молдовски
rom,цигански език
root,роот
ru,руски
rup,арумънски
rw,киняруанда
sa,санкскритски
sad,сандве
sah,якутски
sam,самаритански арамейски
sas,сасак
sat,сантали
sc,сардински
scn,сицилиански
sco,шотландски
sd,синдхи
se,северен сами
sel,селкуп
sg,санго
sga,староирландски
sh,сърбохърватски
shn,шан
si,синхалски
sid,сидамо
sk,словашки
sl,словенски
sm,самоански
sma,южносаамски
smj,луле-саамски
smn,инари-саамски
sms,сколт-саамски
sn,шона
snk,сонинке
so,сомалийски
sog,согдийски
sq,албански
sr,сръбски
srn,сранан тонго
srr,серер
ss,суази
st,сесуто
su,сундански
suk,сукума
sus,сусу
sux,шумерски
sv,шведски
sw,суахили
swb,коморски
syc,класически сирийски
syr,сирийски
ta,тамилски
te,телугу
tem,темне
ter,терено
tet,тетум
tg,таджикски
th,тайски
ti,тигриня
tig,тигре
tiv,тив
tk,туркменски
tkl,токелайски
tl,тагалог
tlh,клингон
tli,тлингит
tmh,тамашек
tn,тсвана
to,тонга
tog,нианса тонга
tpi,ток писин
tr,турски
ts,тсонга
tsi,цимшиански
tt,татарски
tum,тумбука
tvl,тувалуански
tw,туи
ty,таитянски
tyv,тувински
udm,удмуртски
ug,уйгурски
uga,угаритски
uk,украински
umb,умбунду
und,неопределен
ur,урду
uz,узбекски
vai,ваи
ve,венда
vi,виетнамски
vo,волапюк
vot,вотик
wa,валонски
wal,валамо
war,варай
was,уашо
wo,волоф
xal,калмик
xh,ксоса
yao,яо
yap,япезе
yi,идиш
yo,йоруба
yue,кантонски
za,зуанг
zap,запотек
zbl,блис символи
zen,зенага
zgh,стандартен марокански тамазигт
zh,китайски
zh_Hans,опростен китайски
zh_Hant,традиционен китайски
zu,зулуски
zun,зуни
zxx,без лингвистично съдържание
zza,заза
