Afar (aa)
Slave (den)
Dogrib (dgr)
Dinka-Sprache (din)
Zarma (dje)
Dogri (doi)
Niedersorbisch (dsb)
Zentral-Dusun (dtp)
Duala (dua)
Mittelniederländisch (dum)
Maledivisch (dv)
Diola (dyo)
Dyula-Sprache (dyu)
Bhutanisch (dz)
Dazaga (dzg)
Embu (ebu)
Ewe (ee)
Efik (efi)
Emilianisch (egl)
Ägyptisch (egy)
Ekajuk (eka)
Griechisch (el)
Elamisch (elx)
Englisch (en)
Australisches Englisch (en_AU)
Kanadisches Englisch (en_CA)
Britisches Englisch (en_GB)
Amerikanisches Englisch (en_US)
Mittelenglisch (enm)
Esperanto (eo)
Spanisch (es)
Lateinamerikanisches Spanisch (es_419)
Europäisches Spanisch (es_ES)
Mexikanisches Spanisch (es_MX)
Zentral-Alaska-Yupik (esu)
Estnisch (et)
Baskisch (eu)
Ewondo (ewo)
Extremadurisch (ext)
Persisch (fa)
Pangwe-Sprache (fan)
Fanti-Sprache (fat)
Ful (ff)
Finnisch (fi)
Filipino (fil)
Meänkieli (fit)
Fidschi (fj)
Färöisch (fo)
Fon-Sprache (fon)
Französisch (fr)
Kanadisches Französisch (fr_CA)
Schweizer Französisch (fr_CH)
Cajun (frc)
Mittelfranzösisch (frm)
Altfranzösisch (fro)
Frankoprovenzalisch (frp)
Nordfriesisch (frr)
Ostfriesisch (frs)
Friulisch (fur)
Westfriesisch (fy)
Irisch (ga)
Ga-Sprache (gaa)
Gagausisch (gag)
Gan (gan)
Gayo (gay)
Gbaya-Sprache (gba)
Gabri (gbz)
Schottisches Gälisch (gd)
Geez (gez)
Gilbertesisch (gil)
Galizisch (gl)
Gilaki (glk)
Mittelhochdeutsch (gmh)
Guarani (gn)
Althochdeutsch (goh)
Goa-Konkani (gom)
Gondi-Sprache (gon)
Mongondou (gor)
Gotisch (got)
Grebo-Sprache (grb)
Altgriechisch (grc)
Schweizerdeutsch (gsw)
Gujarati (gu)
Wayúu (guc)
Farefare (gur)
Gusii (guz)
Manx (gv)
Kutchin-Sprache (gwi)
Hausa (ha)
Haida-Sprache (hai)
Hakka (hak)
Hawaiisch (haw)
Hebräisch (he)
Hindi (hi)
Fidschi-Hindi (hif)
Hiligaynon-Sprache (hil)
Hethitisch (hit)
Miao-Sprache (hmn)
Hiri-Motu (ho)
Kroatisch (hr)
Obersorbisch (hsb)
Xiang (hsn)
Haitianisch (ht)
Ungarisch (hu)
Hupa (hup)
Armenisch (hy)
Herero-Sprache (hz)
Interlingua (ia)
Iban (iba)
Ibibio (ibb)
Indonesisch (id)
Interlingue (ie)
Igbo (ig)
Yi (ii)
Inupiak (ik)
Ilokano-Sprache (ilo)
Inguschisch (inh)
Ido-Sprache (io)
Isländisch (is)
Italienisch (it)
Inuktitut (iu)
Ischorisch (izh)
Japanisch (ja)
Jamaikanisch-kreolische Sprache (jam)
Lojban (jbo)
Ngomba (jgo)
Machame (jmc)
Jüdisch-Persisch (jpr)
Jüdisch-Arabisch (jrb)
Jütisch (jut)
Javanisch (jv)
Georgisch (ka)
Karakalpakisch (kaa)
Kabylisch (kab)
Kachin-Sprache (kac)
Jju (kaj)
Kamba (kam)
Kawi (kaw)
Kabardinisch (kbd)
Kanembu (kbl)
Tyap (kcg)
Makonde (kde)
Kabuverdianu (kea)
Kenyang (ken)
Koro (kfo)
Kongolesisch (kg)
Kaingang (kgp)
Khasi-Sprache (kha)
Sakisch (kho)
Koyra Chiini (khq)
Khowar (khw)
Kikuyu (ki)
Kirmanjki (kiu)
Kwanyama (kj)
Kasachisch (kk)
Kako (kkj)
Grönländisch (kl)
Kalenjin (kln)
Kambodschanisch (km)
Kimbundu-Sprache (kmb)
Kannada (kn)
Koreanisch (ko)
Komi-Permjakisch (koi)
Konkani (kok)
Kosraeanisch (kos)
Kpelle-Sprache (kpe)
Kanuri-Sprache (kr)
Karatschaiisch-Balkarisch (krc)
Krio (kri)
Kinaray-a (krj)
Karelisch (krl)
Oraon-Sprache (kru)
Kaschmirisch (ks)
Shambala (ksb)
Bafia (ksf)
Kölsch (ksh)
Kurdisch (ku)
Kumükisch (kum)
Kutenai-Sprache (kut)
Komi-Sprache (kv)
Kornisch (kw)
Kirgisisch (ky)
Latein (la)
Ladino (lad)
Langi (lag)
Lahnda (lah)
Lamba-Sprache (lam)
Luxemburgisch (lb)
Lesgisch (lez)
Lingua Franca Nova (lfn)
Ganda (lg)
Limburgisch (li)
Ligurisch (lij)
Livisch (liv)
Lakota (lkt)
Lombardisch (lmo)
Lingala (ln)
Laotisch (lo)
Mongo (lol)
Rotse-Sprache (loz)
Litauisch (lt)
Lettgallisch (ltg)
Luba-Katanga (lu)
Luba-Lulua (lua)
Luiseno-Sprache (lui)
Lunda-Sprache (lun)
Luo-Sprache (luo)
Lushai-Sprache (lus)
Luhya (luy)
Lettisch (lv)
Klassisches Chinesisch (lzh)
Lasisch (lzz)
Maduresisch (mad)
Mafa (maf)
Khotta (mag)
Maithili (mai)
Makassarisch (mak)
Manding-Sprache (man)
Massai-Sprache (mas)
Maba (mde)
Moksha (mdf)
Mandaresisch (mdr)
Mende-Sprache (men)
Meru (mer)
Morisyen (mfe)
Madagassisch (mg)
Mittelirisch (mga)
Makhuwa-Meetto (mgh)
Meta’ (mgo)
Marschallesisch (mh)
Maori (mi)
Micmac-Sprache (mic)
Minangkabau-Sprache (min)
Mazedonisch (mk)
Malayalam (ml)
Mongolisch (mn)
Mandschurisch (mnc)
Meithei-Sprache (mni)
Mohawk (moh)
Mossi-Sprache (mos)
Marathi (mr)
Bergmari (mrj)
Malaiisch (ms)
Maltesisch (mt)
Mundang (mua)
Mehrsprachig (mul)
Muskogee-Sprache (mus)
Mirandesisch (mwl)
Marwari (mwr)
Mentawai (mwv)
Birmanisch (my)
Myene (mye)
Ersja-Mordwinisch (myv)
Masanderanisch (mzn)
Nauruisch (na)
Min Nan (nan)
Neapolitanisch (nap)
Nama (naq)
Norwegisch Bokmål (nb)
Nord-Ndebele-Sprache (nd)
Niederdeutsch (nds)
Nepalesisch (ne)
Newari (new)
Ndonga (ng)
Nias-Sprache (nia)
Niue-Sprache (niu)
Ao-Naga (njo)
Niederländisch (nl)
Flämisch (nl_BE)
Kwasio (nmg)
Norwegisch Nynorsk (nn)
Ngiemboon (nnh)
Norwegisch (no)
Nogai (nog)
Altnordisch (non)
Novial (nov)
N’Ko (nqo)
Süd-Ndebele-Sprache (nr)
Nord-Sotho-Sprache (nso)
Nuer (nus)
Navajo (nv)
Alt-Newari (nwc)
Nyanja-Sprache (ny)
Nyamwezi-Sprache (nym)
Nyankole (nyn)
Nyoro (nyo)
Nzima (nzi)
Okzitanisch (oc)
Ojibwa-Sprache (oj)
Oromo (om)
Oriya (or)
Ossetisch (os)
Osage-Sprache (osa)
Osmanisch (ota)
Panjabi (pa)
Pangasinan-Sprache (pag)
Mittelpersisch (pal)
Pampanggan-Sprache (pam)
Papiamento (pap)
Palau (pau)
Picardisch (pcd)
Pennsylvaniadeutsch (pdc)
Plautdietsch (pdt)
Altpersisch (peo)
Pfälzisch (pfl)
Phönikisch (phn)
Pali (pi)
Polnisch (pl)
Piemontesisch (pms)
Pontisch (pnt)
Ponapeanisch (pon)
Altpreußisch (prg)
Altprovenzalisch (pro)
Paschtu (ps)
Portugiesisch (pt)
Brasilianisches Portugiesisch (pt_BR)
Europäisches Portugiesisch (pt_PT)
Quechua (qu)
K’iche’ (quc)
Chimborazo Hochland-Quechua (qug)
Rajasthani (raj)
Osterinsel-Sprache (rap)
Rarotonganisch (rar)
Romagnol (rgn)
Tarifit (rif)
Rätoromanisch (rm)
Rundi-Sprache (rn)
Rumänisch (ro)
Moldauisch (ro_MD)
Rombo (rof)
Romani (rom)
Root (root)
Rotumanisch (rtm)
Russisch (ru)
Russinisch (rue)
Roviana (rug)
Aromunisch (rup)
Ruandisch (rw)
Rwa (rwk)
Sanskrit (sa)
Sandawe-Sprache (sad)
Jakutisch (sah)
Samaritanisch (sam)
Samburu (saq)
Sasak (sas)
Santali (sat)
Saurashtra (saz)
Ngambay (sba)
Sangu (sbp)
Sardisch (sc)
Sizilianisch (scn)
Schottisch (sco)
Sindhi (sd)
Sassarisch (sdc)
Nord-Samisch (se)
Seneca (see)
Sena (seh)
Seri (sei)
Selkupisch (sel)
Koyra Senni (ses)
Sango (sg)
Altirisch (sga)
Samogitisch (sgs)
Serbo-Kroatisch (sh)
Taschelhit (shi)
Schan-Sprache (shn)
Tschadisch-Arabisch (shu)
Singhalesisch (si)
Sidamo (sid)
Slowakisch (sk)
Slowenisch (sl)
Schlesisch (sli)
Selayar (sly)
Samoanisch (sm)
Süd-Samisch (sma)
Lule-Lappisch (smj)
Inari-Lappisch (smn)
Skolt-Lappisch (sms)
Shona (sn)
Soninke-Sprache (snk)
Somali (so)
Sogdisch (sog)
Albanisch (sq)
Serbisch (sr)
Srananisch (srn)
Serer-Sprache (srr)
Swazi (ss)
Saho (ssy)
Süd-Sotho-Sprache (st)
Saterfriesisch (stq)
Sundanesisch (su)
Sukuma-Sprache (suk)
Susu (sus)
Sumerisch (sux)
Schwedisch (sv)
Suaheli (sw)
Komorisch (swb)
Kongo-Suaheli (swc)
Altsyrisch (syc)
Syrisch (syr)
Schlesisch (Polen) (szl)
Tamilisch (ta)
Tulu (tcy)
Telugu (te)
Temne (tem)
Teso (teo)
Tereno-Sprache (ter)
Tetum-Sprache (tet)
Tadschikisch (tg)
Thailändisch (th)
Tigrinja (ti)
Tigre (tig)
Tiv-Sprache (tiv)
Turkmenisch (tk)
Tokelauanisch (tkl)
Tsachurisch (tkr)
Tagalog (tl)
Klingonisch (tlh)
Tlingit-Sprache (tli)
Talisch (tly)
Tamaseq (tmh)
Tswana-Sprache (tn)
Tongaisch (to)
Tsonga-Sprache (tog)
Neumelanesisch (tpi)
Türkisch (tr)
Turoyo (tru)
Taroko (trv)
Tsonga (ts)
Tsakonisch (tsd)
Tsimshian-Sprache (tsi)
Tatarisch (tt)
Tatisch (ttt)
Tumbuka-Sprache (tum)
Elliceanisch (tvl)
Twi (tw)
Tasawaq (twq)
Tahitisch (ty)
Tuwinisch (tyv)
Zentralatlas-Tamazight (tzm)
Udmurtisch (udm)
Uigurisch (ug)
Ugaritisch (uga)
Ukrainisch (uk)
Mbundu-Sprache (umb)
Unbestimmte Sprache (und)
Urdu (ur)
Usbekisch (uz)
Vai (vai)
Venda-Sprache (ve)
Venetisch (vec)
Wepsisch (vep)
Vietnamesisch (vi)
Westflämisch (vls)
Mainfränkisch (vmf)
Volapük (vo)
Wotisch (vot)
Võro (vro)
Vunjo (vun)
Wallonisch (wa)
Walser-Dialekte (wae)
Walamo-Sprache (wal)
Waray (war)
Washo-Sprache (was)
Wolof (wo)
Wu (wuu)
Kalmückisch (xal)
Xhosa (xh)
Mingrelisch (xmf)
Soga (xog)
Yao-Sprache (yao)
Yapesisch (yap)
Yangben (yav)
Yemba (ybb)
Jiddisch (yi)
Yoruba (yo)
Nheengatu (yrl)
Kantonesisch (yue)
Zhuang (za)
Zapotekisch (zap)
Bliss-Symbole (zbl)
Seeländisch (zea)
Zenaga (zen)
Tamazight (zgh)
Chinesisch (zh)
Chinesisch (vereinfacht) (zh_Hans)
Chinesisch (traditionell) (zh_Hant)
Zulu (zu)
Zuni-Sprache (zun)
Keine Sprachinhalte (zxx)
Zaza (zza)
